type,city,district,voted,voted_agree,voted_disagree,valid,invalid,eligible
city,臺北市,,629887.0,475405.0,150152.0,625557.0,4330.0,2087808.0
district,臺北市,松山區,50475.0,38664.0,11555.0,50219.0,256.0,157134.0
district,臺北市,信義區,53561.0,42020.0,11193.0,53213.0,348.0,176662.0
district,臺北市,大安區,73521.0,56885.0,16199.0,73084.0,437.0,234682.0
district,臺北市,中山區,54295.0,39772.0,14178.0,53950.0,345.0,184676.0
district,臺北市,中正區,36176.0,27527.0,8366.0,35893.0,283.0,118493.0
district,臺北市,大同區,27074.0,17812.0,9039.0,26851.0,223.0,100581.0
district,臺北市,萬華區,44226.0,32248.0,11596.0,43844.0,382.0,151037.0
district,臺北市,文山區,70611.0,57144.0,13068.0,70212.0,399.0,217207.0
district,臺北市,南港區,27793.0,21514.0,6129.0,27643.0,150.0,95755.0
district,臺北市,內湖區,68696.0,53590.0,14685.0,68275.0,421.0,226011.0
district,臺北市,士林區,64725.0,45529.0,18653.0,64182.0,543.0,223743.0
district,臺北市,北投區,58734.0,42700.0,15491.0,58191.0,543.0,201827.0
city,新北市,,1047913.0,777046.0,262784.0,1039830.0,8083.0,3501235.0
district,新北市,板橋區,136865.0,99125.0,36880.0,136005.0,860.0,470112.0
district,新北市,三重區,94161.0,64237.0,29217.0,93454.0,707.0,334972.0
district,新北市,中和區,117223.0,92377.0,24033.0,116410.0,813.0,357554.0
district,新北市,永和區,60225.0,48550.0,11294.0,59844.0,381.0,182890.0
district,新北市,新莊區,96865.0,69717.0,26492.0,96209.0,656.0,356317.0
district,新北市,新店區,135272.0,98340.0,35073.0,133413.0,1859.0,274054.0
district,新北市,樹林區,41198.0,30193.0,10672.0,40865.0,333.0,151712.0
district,新北市,鶯歌區,20529.0,15192.0,5182.0,20374.0,155.0,76542.0
district,新北市,三峽區,25341.0,19557.0,5628.0,25185.0,156.0,97442.0
district,新北市,淡水區,48677.0,37907.0,10495.0,48402.0,275.0,180279.0
district,新北市,汐止區,53573.0,42107.0,11156.0,53263.0,310.0,188513.0
district,新北市,瑞芳區,7542.0,5879.0,1579.0,7458.0,84.0,32457.0
district,新北市,土城區,56956.0,42427.0,14145.0,56572.0,384.0,208112.0
district,新北市,蘆洲區,42891.0,29373.0,13253.0,42626.0,265.0,169180.0
district,新北市,五股區,20880.0,15249.0,5482.0,20731.0,149.0,81752.0
district,新北市,泰山區,17854.0,13448.0,4306.0,17754.0,100.0,66320.0
district,新北市,林口區,28408.0,22350.0,5912.0,28262.0,146.0,109699.0
district,新北市,深坑區,9905.0,6625.0,3133.0,9758.0,147.0,21335.0
district,新北市,石碇區,2668.0,1604.0,1005.0,2609.0,59.0,6482.0
district,新北市,坪林區,2011.0,1142.0,837.0,1979.0,32.0,5778.0
district,新北市,三芝區,4831.0,3779.0,1018.0,4797.0,34.0,20108.0
district,新北市,石門區,1899.0,1505.0,384.0,1889.0,10.0,9202.0
district,新北市,八里區,9189.0,7009.0,2130.0,9139.0,50.0,38031.0
district,新北市,平溪區,791.0,585.0,199.0,784.0,7.0,3770.0
district,新北市,雙溪區,1482.0,1085.0,385.0,1470.0,12.0,7020.0
district,新北市,貢寮區,1583.0,870.0,697.0,1567.0,16.0,9966.0
district,新北市,金山區,3853.0,2886.0,935.0,3821.0,32.0,17972.0
district,新北市,萬里區,3616.0,2776.0,813.0,3589.0,27.0,18517.0
district,新北市,烏來區,1625.0,1152.0,449.0,1601.0,24.0,5147.0
city,桃園市,,532214.0,429306.0,98886.0,528192.0,4022.0,1971813.0
district,桃園市,桃園區,105232.0,83427.0,21170.0,104597.0,635.0,397679.0
district,桃園市,中壢區,105174.0,86872.0,17523.0,104395.0,779.0,366411.0
district,桃園市,大溪區,20548.0,15652.0,4687.0,20339.0,209.0,80482.0
district,桃園市,楊梅區,42167.0,35557.0,6318.0,41875.0,292.0,152947.0
district,桃園市,蘆竹區,35938.0,27884.0,7806.0,35690.0,248.0,141687.0
district,桃園市,大園區,16967.0,13226.0,3609.0,16835.0,132.0,74616.0
district,桃園市,龜山區,42690.0,33444.0,8923.0,42367.0,323.0,159671.0
district,桃園市,八德區,49398.0,39642.0,9311.0,48953.0,445.0,180309.0
district,桃園市,龍潭區,31773.0,26672.0,4829.0,31501.0,272.0,108257.0
district,桃園市,平鎮區,55441.0,45506.0,9481.0,54987.0,454.0,191035.0
district,桃園市,新屋區,10870.0,8747.0,2041.0,10788.0,82.0,43045.0
district,桃園市,觀音區,13938.0,10876.0,2946.0,13822.0,116.0,64935.0
district,桃園市,復興區,2078.0,1801.0,242.0,2043.0,35.0,10739.0
city,臺中市,,869580.0,645486.0,212952.0,858438.0,11142.0,2416540.0
district,臺中市,中區,3888.0,2783.0,1043.0,3826.0,62.0,14247.0
district,臺中市,東區,20584.0,15570.0,4853.0,20423.0,161.0,66971.0
district,臺中市,南區,33982.0,26216.0,7532.0,33748.0,234.0,110290.0
district,臺中市,西區,29234.0,21819.0,7204.0,29023.0,211.0,94923.0
district,臺中市,北區,39153.0,30106.0,8713.0,38819.0,334.0,124643.0
district,臺中市,西屯區,58254.0,46388.0,11508.0,57896.0,358.0,197594.0
district,臺中市,南屯區,45580.0,35649.0,9608.0,45257.0,323.0,152619.0
district,臺中市,北屯區,78228.0,62086.0,15552.0,77638.0,590.0,262887.0
district,臺中市,豐原區,68398.0,46546.0,20666.0,67212.0,1186.0,136308.0
district,臺中市,東勢區,20709.0,15192.0,5083.0,20275.0,434.0,41471.0
district,臺中市,大甲區,16287.0,12986.0,3118.0,16104.0,183.0,61273.0
district,臺中市,清水區,20713.0,15953.0,4513.0,20466.0,247.0,76845.0
district,臺中市,沙鹿區,40009.0,28489.0,10812.0,39301.0,708.0,82414.0
district,臺中市,梧棲區,14261.0,11193.0,2901.0,14094.0,167.0,53664.0
district,臺中市,后里區,21643.0,15510.0,5715.0,21225.0,418.0,44982.0
district,臺中市,神岡區,26848.0,18028.0,8330.0,26358.0,490.0,54616.0
district,臺中市,潭子區,45131.0,31421.0,13020.0,44441.0,690.0,93188.0
district,臺中市,大雅區,38181.0,27194.0,10399.0,37593.0,588.0,79163.0
district,臺中市,新社區,9504.0,6801.0,2482.0,9283.0,221.0,20263.0
district,臺中市,石岡區,6091.0,4372.0,1603.0,5975.0,116.0,12181.0
district,臺中市,外埔區,7778.0,6340.0,1348.0,7688.0,90.0,26776.0
district,臺中市,大安區,3915.0,3098.0,758.0,3856.0,59.0,15686.0
district,臺中市,烏日區,34417.0,23421.0,10395.0,33816.0,601.0,68927.0
district,臺中市,大肚區,24042.0,16785.0,6766.0,23551.0,491.0,47813.0
district,臺中市,龍井區,32664.0,23158.0,8963.0,32121.0,543.0,67069.0
district,臺中市,霧峰區,27632.0,19141.0,7979.0,27120.0,512.0,54857.0
district,臺中市,太平區,47766.0,37462.0,9780.0,47242.0,524.0,169002.0
district,臺中市,大里區,51392.0,39079.0,11770.0,50849.0,543.0,176590.0
district,臺中市,和平區,3296.0,2700.0,538.0,3238.0,58.0,9278.0
city,臺南市,,426241.0,281553.0,141687.0,423240.0,3001.0,1600962.0
district,臺南市,新營區,16755.0,11988.0,4645.0,16633.0,122.0,63544.0
district,臺南市,鹽水區,4785.0,3143.0,1592.0,4735.0,50.0,21324.0
district,臺南市,白河區,5155.0,3205.0,1892.0,5097.0,58.0,22908.0
district,臺南市,柳營區,4484.0,3021.0,1428.0,4449.0,35.0,18063.0
district,臺南市,後壁區,4725.0,3004.0,1664.0,4668.0,57.0,19273.0
district,臺南市,東山區,3029.0,2048.0,948.0,2996.0,33.0,17100.0
district,臺南市,麻豆區,9557.0,5402.0,4088.0,9490.0,67.0,37463.0
district,臺南市,下營區,4622.0,3059.0,1535.0,4594.0,28.0,19586.0
district,臺南市,六甲區,4281.0,2766.0,1481.0,4247.0,34.0,18552.0
district,臺南市,官田區,4622.0,2791.0,1792.0,4583.0,39.0,18425.0
district,臺南市,大內區,1691.0,1059.0,611.0,1670.0,21.0,7895.0
district,臺南市,佳里區,12516.0,8208.0,4238.0,12446.0,70.0,50206.0
district,臺南市,學甲區,5011.0,3167.0,1805.0,4972.0,39.0,21827.0
district,臺南市,西港區,5064.0,3152.0,1882.0,5034.0,30.0,21832.0
district,臺南市,七股區,3869.0,2401.0,1433.0,3834.0,35.0,18797.0
district,臺南市,將軍區,3325.0,2082.0,1214.0,3296.0,29.0,16489.0
district,臺南市,北門區,1595.0,1138.0,439.0,1577.0,18.0,8899.0
district,臺南市,新化區,9760.0,6579.0,3095.0,9674.0,86.0,36844.0
district,臺南市,善化區,11786.0,7567.0,4152.0,11719.0,67.0,43739.0
district,臺南市,新市區,8450.0,5701.0,2691.0,8392.0,58.0,32222.0
district,臺南市,安定區,6903.0,4432.0,2411.0,6843.0,60.0,26236.0
district,臺南市,山上區,1382.0,950.0,420.0,1370.0,12.0,6214.0
district,臺南市,玉井區,2771.0,2085.0,664.0,2749.0,22.0,11565.0
