縣市,鄉鎮,同意率（基於投票人數）
臺北市,松山區,76.6
臺北市,信義區,78.5
臺北市,大安區,77.4
臺北市,中山區,73.3
臺北市,中正區,76.1
臺北市,大同區,65.8
臺北市,萬華區,72.9
臺北市,文山區,80.9
臺北市,南港區,77.4
臺北市,內湖區,78.0
臺北市,士林區,70.3
臺北市,北投區,72.7
新北市,板橋區,72.4
新北市,三重區,68.2
新北市,中和區,78.8
新北市,永和區,80.6
新北市,新莊區,72.0
新北市,新店區,72.7
新北市,樹林區,73.3
新北市,鶯歌區,74.0
新北市,三峽區,77.2
新北市,淡水區,77.9
新北市,汐止區,78.6
新北市,瑞芳區,78.0
新北市,土城區,74.5
新北市,蘆洲區,68.5
新北市,五股區,73.0
新北市,泰山區,75.3
新北市,林口區,78.7
新北市,深坑區,66.9
新北市,石碇區,60.1
新北市,坪林區,56.8
新北市,三芝區,78.2
新北市,石門區,79.3
新北市,八里區,76.3
新北市,平溪區,74.0
新北市,雙溪區,73.2
新北市,貢寮區,55.0
新北市,金山區,74.9
新北市,萬里區,76.8
新北市,烏來區,70.9
桃園市,桃園區,79.3
桃園市,中壢區,82.6
桃園市,大溪區,76.2
桃園市,楊梅區,84.3
桃園市,蘆竹區,77.6
桃園市,大園區,78.0
桃園市,龜山區,78.3
桃園市,八德區,80.3
桃園市,龍潭區,83.9
桃園市,平鎮區,82.1
桃園市,新屋區,80.5
桃園市,觀音區,78.0
桃園市,復興區,86.7
臺中市,中區,71.6
臺中市,東區,75.6
臺中市,南區,77.1
臺中市,西區,74.6
臺中市,北區,76.9
臺中市,西屯區,79.6
臺中市,南屯區,78.2
臺中市,北屯區,79.4
臺中市,豐原區,68.1
臺中市,東勢區,73.4
臺中市,大甲區,79.7
臺中市,清水區,77.0
臺中市,沙鹿區,71.2
臺中市,梧棲區,78.5
臺中市,后里區,71.7
臺中市,神岡區,67.1
臺中市,潭子區,69.6
臺中市,大雅區,71.2
臺中市,新社區,71.6
臺中市,石岡區,71.8
臺中市,外埔區,81.5
臺中市,大安區,79.1
臺中市,烏日區,68.1
臺中市,大肚區,69.8
臺中市,龍井區,70.9
臺中市,霧峰區,69.3
臺中市,太平區,78.4
臺中市,大里區,76.0
臺中市,和平區,81.9
臺南市,新營區,71.5
臺南市,鹽水區,65.7
臺南市,白河區,62.2
臺南市,柳營區,67.4
臺南市,後壁區,63.6
臺南市,東山區,67.6
臺南市,麻豆區,56.5
臺南市,下營區,66.2
臺南市,六甲區,64.6
臺南市,官田區,60.4
臺南市,大內區,62.6
臺南市,佳里區,65.6
臺南市,學甲區,63.2
臺南市,西港區,62.2
臺南市,七股區,62.1
臺南市,將軍區,62.6
臺南市,北門區,71.3
臺南市,新化區,67.4
臺南市,善化區,64.2
臺南市,新市區,67.5
臺南市,安定區,64.2
臺南市,山上區,68.7
臺南市,玉井區,75.2
臺南市,楠西區,80.0
臺南市,南化區,77.6
臺南市,左鎮區,63.6
臺南市,仁德區,67.0
臺南市,歸仁區,64.4
臺南市,關廟區,63.7
臺南市,龍崎區,71.6
臺南市,永康區,68.2
臺南市,東區,68.4
臺南市,南區,61.8
臺南市,北區,67.5
臺南市,安南區,66.0
臺南市,安平區,67.8
臺南市,中西區,61.2
高雄市,鹽埕區,57.0
高雄市,鼓山區,65.5
高雄市,左營區,70.3
高雄市,楠梓區,66.9
高雄市,三民區,62.3
高雄市,新興區,62.2
高雄市,前金區,62.5
高雄市,苓雅區,63.5
高雄市,前鎮區,61.9
高雄市,旗津區,56.2
高雄市,小港區,62.4
高雄市,鳳山區,66.2
高雄市,林園區,58.7
高雄市,大寮區,62.7
高雄市,大樹區,58.5
高雄市,大社區,60.1
高雄市,仁武區,63.9
高雄市,鳥松區,63.3
高雄市,岡山區,68.7
高雄市,橋頭區,58.7
高雄市,燕巢區,64.8
高雄市,田寮區,67.9
高雄市,阿蓮區,62.7
高雄市,路竹區,67.5
高雄市,湖內區,65.2
高雄市,茄萣區,62.3
高雄市,永安區,66.9
高雄市,彌陀區,69.0
高雄市,梓官區,59.9
高雄市,旗山區,64.9
高雄市,美濃區,73.2
高雄市,六龜區,66.6
高雄市,甲仙區,72.7
高雄市,杉林區,73.4
高雄市,內門區,70.7
高雄市,茂林區,80.5
高雄市,桃源區,84.7
高雄市,那瑪夏區,80.3
新竹縣,竹北市,75.1
新竹縣,竹東鎮,79.2
