縣市,鄉鎮,投票率
臺北市,松山區,32.1
臺北市,信義區,30.3
臺北市,大安區,31.3
臺北市,中山區,29.4
臺北市,中正區,30.5
臺北市,大同區,26.9
臺北市,萬華區,29.3
臺北市,文山區,32.5
臺北市,南港區,29.0
臺北市,內湖區,30.4
臺北市,士林區,28.9
臺北市,北投區,29.1
新北市,板橋區,29.1
新北市,三重區,28.1
新北市,中和區,32.8
新北市,永和區,32.9
新北市,新莊區,27.2
新北市,新店區,49.4
新北市,樹林區,27.2
新北市,鶯歌區,26.8
新北市,三峽區,26.0
新北市,淡水區,27.0
新北市,汐止區,28.4
新北市,瑞芳區,23.2
新北市,土城區,27.4
新北市,蘆洲區,25.4
新北市,五股區,25.5
新北市,泰山區,26.9
新北市,林口區,25.9
新北市,深坑區,46.4
新北市,石碇區,41.2
新北市,坪林區,34.8
新北市,三芝區,24.0
新北市,石門區,20.6
新北市,八里區,24.2
新北市,平溪區,21.0
新北市,雙溪區,21.1
新北市,貢寮區,15.9
新北市,金山區,21.4
新北市,萬里區,19.5
新北市,烏來區,31.6
桃園市,桃園區,26.5
桃園市,中壢區,28.7
桃園市,大溪區,25.5
桃園市,楊梅區,27.6
桃園市,蘆竹區,25.4
桃園市,大園區,22.7
桃園市,龜山區,26.7
桃園市,八德區,27.4
桃園市,龍潭區,29.3
桃園市,平鎮區,29.0
桃園市,新屋區,25.3
桃園市,觀音區,21.5
桃園市,復興區,19.4
臺中市,中區,27.3
臺中市,東區,30.7
臺中市,南區,30.8
臺中市,西區,30.8
臺中市,北區,31.4
臺中市,西屯區,29.5
臺中市,南屯區,29.9
臺中市,北屯區,29.8
臺中市,豐原區,50.2
臺中市,東勢區,49.9
臺中市,大甲區,26.6
臺中市,清水區,27.0
臺中市,沙鹿區,48.5
臺中市,梧棲區,26.6
臺中市,后里區,48.1
臺中市,神岡區,49.2
臺中市,潭子區,48.4
臺中市,大雅區,48.2
臺中市,新社區,46.9
臺中市,石岡區,50.0
臺中市,外埔區,29.0
臺中市,大安區,25.0
臺中市,烏日區,49.9
臺中市,大肚區,50.3
臺中市,龍井區,48.7
臺中市,霧峰區,50.4
臺中市,太平區,28.3
臺中市,大里區,29.1
臺中市,和平區,35.5
臺南市,新營區,26.4
臺南市,鹽水區,22.4
臺南市,白河區,22.5
臺南市,柳營區,24.8
臺南市,後壁區,24.5
臺南市,東山區,17.7
臺南市,麻豆區,25.5
臺南市,下營區,23.6
臺南市,六甲區,23.1
臺南市,官田區,25.1
臺南市,大內區,21.4
臺南市,佳里區,24.9
臺南市,學甲區,23.0
臺南市,西港區,23.2
臺南市,七股區,20.6
臺南市,將軍區,20.2
臺南市,北門區,17.9
臺南市,新化區,26.5
臺南市,善化區,26.9
臺南市,新市區,26.2
臺南市,安定區,26.3
