縣市,鄉鎮,不同意率（基於投票人數）
臺北市,松山區,22.9
臺北市,信義區,20.9
臺北市,大安區,22.0
臺北市,中山區,26.1
臺北市,中正區,23.1
臺北市,大同區,33.4
臺北市,萬華區,26.2
臺北市,文山區,18.5
臺北市,南港區,22.1
臺北市,內湖區,21.4
臺北市,士林區,28.8
臺北市,北投區,26.4
新北市,板橋區,26.9
新北市,三重區,31.0
新北市,中和區,20.5
新北市,永和區,18.8
新北市,新莊區,27.3
新北市,新店區,25.9
新北市,樹林區,25.9
新北市,鶯歌區,25.2
新北市,三峽區,22.2
新北市,淡水區,21.6
新北市,汐止區,20.8
新北市,瑞芳區,20.9
新北市,土城區,24.8
新北市,蘆洲區,30.9
新北市,五股區,26.3
新北市,泰山區,24.1
新北市,林口區,20.8
新北市,深坑區,31.6
新北市,石碇區,37.7
新北市,坪林區,41.6
新北市,三芝區,21.1
新北市,石門區,20.2
新北市,八里區,23.2
新北市,平溪區,25.2
新北市,雙溪區,26.0
新北市,貢寮區,44.0
新北市,金山區,24.3
新北市,萬里區,22.5
新北市,烏來區,27.6
桃園市,桃園區,20.1
桃園市,中壢區,16.7
桃園市,大溪區,22.8
桃園市,楊梅區,15.0
桃園市,蘆竹區,21.7
桃園市,大園區,21.3
桃園市,龜山區,20.9
桃園市,八德區,18.8
桃園市,龍潭區,15.2
桃園市,平鎮區,17.1
桃園市,新屋區,18.8
桃園市,觀音區,21.1
桃園市,復興區,11.6
臺中市,中區,26.8
臺中市,東區,23.6
臺中市,南區,22.2
臺中市,西區,24.6
臺中市,北區,22.3
臺中市,西屯區,19.8
臺中市,南屯區,21.1
臺中市,北屯區,19.9
臺中市,豐原區,30.2
臺中市,東勢區,24.5
臺中市,大甲區,19.1
臺中市,清水區,21.8
臺中市,沙鹿區,27.0
臺中市,梧棲區,20.3
臺中市,后里區,26.4
臺中市,神岡區,31.0
臺中市,潭子區,28.8
臺中市,大雅區,27.2
臺中市,新社區,26.1
臺中市,石岡區,26.3
臺中市,外埔區,17.3
臺中市,大安區,19.4
臺中市,烏日區,30.2
臺中市,大肚區,28.1
臺中市,龍井區,27.4
臺中市,霧峰區,28.9
臺中市,太平區,20.5
臺中市,大里區,22.9
臺中市,和平區,16.3
臺南市,新營區,27.7
臺南市,鹽水區,33.3
臺南市,白河區,36.7
臺南市,柳營區,31.8
臺南市,後壁區,35.2
臺南市,東山區,31.3
臺南市,麻豆區,42.8
臺南市,下營區,33.2
臺南市,六甲區,34.6
臺南市,官田區,38.8
臺南市,大內區,36.1
臺南市,佳里區,33.9
臺南市,學甲區,36.0
臺南市,西港區,37.2
臺南市,七股區,37.0
臺南市,將軍區,36.5
臺南市,北門區,27.5
臺南市,新化區,31.7
臺南市,善化區,35.2
臺南市,新市區,31.8
臺南市,安定區,34.9
臺南市,山上區,30.4
臺南市,玉井區,24.0
臺南市,楠西區,18.8
臺南市,南化區,21.4
臺南市,左鎮區,35.2
臺南市,仁德區,32.2
臺南市,歸仁區,35.0
臺南市,關廟區,35.5
臺南市,龍崎區,26.7
臺南市,永康區,31.1
臺南市,東區,31.0
臺南市,南區,37.5
臺南市,北區,31.8
臺南市,安南區,33.3
臺南市,安平區,31.6
臺南市,中西區,38.0
高雄市,鹽埕區,42.2
高雄市,鼓山區,33.9
高雄市,左營區,29.2
高雄市,楠梓區,32.6
高雄市,三民區,37.2
高雄市,新興區,37.3
高雄市,前金區,36.9
高雄市,苓雅區,36.0
高雄市,前鎮區,37.6
高雄市,旗津區,43.1
高雄市,小港區,37.1
高雄市,鳳山區,33.3
高雄市,林園區,40.5
高雄市,大寮區,36.6
高雄市,大樹區,40.6
高雄市,大社區,39.3
高雄市,仁武區,35.5
高雄市,鳥松區,36.2
高雄市,岡山區,30.8
高雄市,橋頭區,40.8
高雄市,燕巢區,34.3
高雄市,田寮區,31.5
高雄市,阿蓮區,36.7
高雄市,路竹區,32.0
高雄市,湖內區,34.2
高雄市,茄萣區,37.1
高雄市,永安區,32.6
高雄市,彌陀區,30.3
高雄市,梓官區,39.2
高雄市,旗山區,34.4
高雄市,美濃區,26.0
高雄市,六龜區,32.2
高雄市,甲仙區,26.1
高雄市,杉林區,25.8
高雄市,內門區,28.0
高雄市,茂林區,18.9
